order_id,customer_id,order_date,status,shipping_method,shipping_cost,discount_amount,tax_amount,total_amount,currency,promo_code,channel,items_sum
80,3957,2023-02-25 21:24:37,completed,standard,10.85,2.33,7.99,116.37,EUR,FREESHIP,web,99.86000000000001
81,4539,2024-09-04 06:40:19,completed,standard,3.69,11.73,4.47,52.35,USD,,mobile,55.92
82,2703,2023-12-07 19:09:09,completed,standard,23.4,16.35,18.31,254.19,EUR,FREESHIP,marketplace,228.83
83,1567,2025-01-17 18:47:55,cancelled,express,17.91,13.35,37.61,0.0,USD,,marketplace,470.18
84,2539,2023-01-03 02:39:10,completed,express,2.13,24.44,3.03,18.64,USD,SPRING15,mobile,37.92
85,4154,2024-06-01 07:24:40,shipped,standard,2.3,4.16,7.14,76.65,MAD,,web,71.37
86,3841,2024-06-01 17:35:56,completed,express,6.79,-5.0,1.38,30.47,EUR,WELCOME10,mobile,17.3
87,1485,2025-04-19 23:57:23,completed,priority,4.94,9.15,10.66,139.68,GBP,SPRING15,web,133.23000000000002
88,2337,2025-07-24 12:04:42,completed,standard,9.3,0.61,22.05,306.32,USD,VIP20,marketplace,275.58
89,1762,2024-05-02 14:30:51,completed,standard,7.06,10.45,6.09,78.79,USD,,web,76.09
90,527,2024-10-10 07:52:14,completed,standard,7.18,9.34,6.12,80.49,EUR,,mobile,76.53
91,2434,2024-11-03 02:41:00,completed,express,3.83,-2.98,37.72,515.99,USD,WELCOME10,web,471.46
92,3387,2023-10-26 11:39:43,completed,pickup,10.1,17.13,5.39,65.77,USD,FREESHIP,web,67.41
93,3487,2023-09-07 02:04:52,completed,express,11.45,-0.08,28.29,393.49,USD,,mobile,353.66999999999996
94,2837,2025-03-11 12:27:24,completed,express,31.91,18.79,7.52,114.69,USD,,mobile,94.05
95,2729,2023-06-13 16:58:25,completed,standard,1.81,-0.06,0.06,2.65,GBP,,mobile,0.72
96,3652,2023-08-08 08:02:31,cancelled,express,10.16,15.63,8.88,0.0,USD,,mobile,110.94000000000001
97,3706,2024-01-09 12:00:43,shipped,express,6.44,15.43,1.33,8.97,EUR,,web,16.630000000000003
98,2175,2024-05-06 02:16:05,completed,express,16.85,0.44,29.13,409.65,USD,,web,364.11
99,1893,2024-05-13 04:39:14,pending,standard,1.72,28.47,1.85,-1.83,USD,,web,23.07
100,4313,2024-08-28 01:39:20,pending,express,1.11,3.11,11.83,128.1,MAD,,web,118.27
101,291,2023-03-28 01:10:42,completed,standard,6.16,25.11,24.42,310.71,USD,,marketplace,305.24
102,320,2023-03-16 14:27:41,completed,standard,5.49,0.98,7.21,101.88,USD,,mobile,90.16
103,908,2025-03-01 20:47:02,pending,standard,3.18,7.12,9.68,126.69,GBP,,marketplace,120.95
104,268,2024-04-04 18:54:21,completed,express,14.27,-2.91,64.06,721.83,MAD,VIP20,web,640.5899999999999
105,1475,2024-04-28 16:14:18,pending,standard,2.97,6.77,4.32,54.48,USD,FREESHIP,web,53.96
106,1376,2023-07-07 17:57:24,completed,standard,6.46,2.92,3.02,44.25,USD,VIP20,mobile,37.69
107,4107,2023-03-04 02:40:09,shipped,standard,9.97,6.31,20.01,273.74,USD,,web,250.07
108,2257,2023-11-09 15:31:12,completed,pickup,16.86,-5.0,23.11,333.86,EUR,,marketplace,288.89
109,4444,2023-06-11 00:24:53,completed,standard,1.16,10.48,9.17,114.43,USD,,web,114.58
110,4115,2024-06-26 01:39:07,completed,standard,20.59,7.83,28.17,393.04,EUR,,mobile,352.11
111,651,2023-09-03 01:28:40,completed,priority,8.5,7.66,6.77,92.19,USD,,mobile,84.58
112,4028,2024-06-20 18:08:46,completed,standard,11.11,7.65,29.91,407.2,EUR,,mobile,373.83
113,1160,2023-03-30 06:45:36,completed,standard,5.2,3.26,20.79,282.6,USD,,web,259.87
114,856,2024-08-03 05:52:38,shipped,pickup,16.84,38.21,2.78,16.12,GBP,,marketplace,34.71
115,4077,2024-06-15 03:49:02,completed,priority,3.88,-2.29,10.86,152.81,USD,,web,135.78
116,2706,2024-06-21 03:27:13,completed,express,10.48,12.89,39.92,536.52,USD,,web,499.01
117,1592,2023-02-20 21:04:21,completed,standard,9.53,-5.0,14.47,173.66,MAD,SPRING15,web,144.66
118,4081,2024-01-07 13:57:02,cancelled,express,14.59,1.25,5.13,0.0,GBP,SPRING15,web,64.12
119,4573,2023-01-16 21:57:04,completed,standard,0.48,-5.0,32.18,359.42,MAD,,marketplace,321.76
120,2188,2024-10-16 05:48:42,completed,express,3.94,4.19,9.97,134.29,USD,,mobile,124.57
121,1647,2024-08-05 07:30:07,completed,standard,14.35,-5.0,0.3,23.36,EUR,SPRING15,web,3.71
122,3630,2023-02-17 23:44:30,completed,express,7.33,18.62,5.77,66.6,USD,,mobile,72.12
123,2925,2024-05-13 07:26:25,completed,standard,14.34,14.66,43.74,590.22,EUR,,web,546.8
124,2615,2024-11-05 15:15:56,completed,standard,0.5,17.24,15.21,188.56,USD,,mobile,190.09
125,4082,2025-03-22 23:03:42,completed,standard,10.58,11.03,19.69,216.16,MAD,,mobile,196.92000000000002
126,340,2023-01-20 21:13:57,completed,express,7.89,2.04,30.38,415.98,USD,,web,379.75
127,3970,2023-06-02 08:56:32,completed,express,6.95,-2.13,9.81,141.54,USD,,marketplace,122.65
128,2030,2024-01-21 03:30:16,completed,standard,7.19,19.9,3.4,33.2,EUR,,web,42.51
129,811,2023-02-26 01:50:14,completed,standard,16.66,14.38,31.31,424.97,USD,,web,391.38
130,1001,2023-04-20 11:14:18,completed,standard,10.49,11.95,31.85,428.52,EUR,,web,398.13
131,2904,2023-04-01 19:25:10,completed,pickup,4.85,5.62,38.13,418.71,MAD,,marketplace,381.34999999999997
132,1383,2023-05-10 19:45:42,completed,express,4.12,-5.0,15.73,221.52,USD,WELCOME10,web,196.67000000000002
133,3160,2025-04-26 04:36:26,completed,standard,16.96,16.04,9.59,130.38,USD,,web,119.87
134,2767,2023-02-17 04:19:55,completed,express,2.84,18.06,5.1,53.67,EUR,,web,63.79
135,2396,2024-05-17 22:55:16,completed,standard,15.91,11.69,20.58,281.99,USD,,web,257.19
136,4002,2025-07-04 01:28:49,completed,priority,14.85,14.44,0.33,4.85,EUR,,mobile,4.11
137,355,2025-05-05 11:33:20,cancelled,standard,8.42,-0.34,2.35,0.0,USD,,web,29.4
138,4276,2023-02-25 08:44:03,completed,standard,10.99,14.9,2.62,31.46,USD,VIP20,mobile,32.75
139,2848,2024-11-17 03:24:49,shipped,standard,0.53,10.29,6.27,74.88,EUR,WELCOME10,web,78.37
140,3458,2024-01-18 22:00:51,completed,express,8.77,8.07,12.86,174.37,USD,,mobile,160.81
141,1662,2025-07-06 17:28:26,shipped,standard,5.79,2.2,7.6,106.15,EUR,FREESHIP,web,94.96000000000001
142,621,2025-01-26 02:30:37,completed,standard,3.4,17.47,3.28,30.21,EUR,,web,41.0
143,2739,2025-01-21 23:38:28,completed,pickup,3.47,-5.0,13.16,186.11,USD,WELCOME10,web,164.48000000000002
144,2548,2025-01-22 01:53:06,pending,express,12.52,9.16,8.38,116.47,EUR,,marketplace,104.72999999999999
145,1243,2023-11-19 10:24:07,completed,standard,13.99,11.26,19.89,271.26,EUR,SPRING15,mobile,248.64
146,4599,2024-07-06 07:55:23,completed,pickup,7.91,-2.6,15.73,222.84,EUR,,marketplace,196.6
147,4482,2025-08-11 23:53:15,completed,standard,15.01,4.08,20.88,240.6,MAD,WELCOME10,web,208.79000000000002
148,900,2025-08-04 16:06:09,completed,express,7.78,14.36,5.81,71.8,USD,,web,72.57
149,4117,2023-11-24 03:19:57,completed,express,8.11,4.81,0.85,14.83,USD,,web,10.68
150,1198,2025-01-29 06:39:21,shipped,standard,10.09,10.36,11.5,154.94,USD,,mobile,143.70999999999998
151,3681,2025-02-02 07:20:04,shipped,pickup,4.34,-5.0,7.48,110.33,EUR,,web,93.51
152,1845,2024-01-05 07:08:37,completed,standard,12.05,34.32,9.82,110.33,USD,,web,122.78
153,3777,2025-04-05 04:28:43,completed,standard,15.43,-0.25,14.5,211.42,USD,,marketplace,181.24
154,590,2023-12-10 19:01:11,pending,pickup,3.73,6.45,6.9,90.41,EUR,,web,86.22999999999999
155,189,2023-02-02 23:37:27,completed,priority,4.7,-5.0,15.72,221.94,EUR,,web,196.52
156,3178,2024-01-24 05:45:05,returned,standard,9.76,3.12,8.35,0.0,USD,,web,104.36
157,1294,2023-04-27 04:39:47,completed,standard,9.68,3.87,6.32,91.07,USD,,web,78.94
158,632,2024-12-22 16:26:27,completed,express,8.5,-3.57,6.09,94.31,EUR,WELCOME10,web,76.15
159,2112,2023-07-08 10:11:55,completed,standard,3.04,-0.3,8.35,116.04,USD,,marketplace,104.35000000000001
160,3077,2025-04-07 22:03:17,completed,standard,4.47,7.24,22.43,300.09,USD,,web,280.43
161,3630,2023-10-21 11:21:31,completed,priority,6.33,18.09,3.31,32.96,USD,,mobile,41.41
162,1588,2023-10-30 06:06:38,completed,standard,3.54,-1.32,19.22,264.27,EUR,,web,240.19
163,718,2025-01-10 16:44:08,completed,pickup,8.42,22.14,20.81,267.27,USD,,web,260.18
164,741,2025-05-20 21:24:07,completed,standard,6.06,11.76,16.85,221.78,USD,FREESHIP,marketplace,210.63
165,1614,2024-11-14 18:20:28,completed,standard,5.59,2.38,35.75,485.81,USD,,marketplace,446.84999999999997
166,214,2024-08-19 06:34:13,completed,express,4.33,-2.32,25.19,346.76,USD,,web,314.92
167,1776,2024-03-19 05:50:47,completed,standard,4.29,11.14,52.19,567.28,MAD,VIP20,web,521.9399999999999
168,848,2025-02-15 18:16:39,completed,standard,5.88,0.76,19.53,268.72,USD,,web,244.07
169,2460,2025-01-05 23:10:39,completed,standard,11.37,0.53,5.86,89.97,USD,,marketplace,73.27000000000001
170,3301,2023-05-29 06:14:55,completed,pickup,4.03,0.66,32.14,437.23,USD,WELCOME10,web,401.72
171,1749,2025-06-28 23:58:44,pending,standard,14.93,4.37,19.41,272.55,USD,,web,242.57999999999998
172,4496,2023-08-26 16:03:04,completed,standard,0.86,5.49,8.94,116.02,GBP,,web,111.71
173,2527,2024-09-16 17:31:53,completed,standard,3.38,17.39,28.97,377.06,USD,,marketplace,362.1
174,4917,2023-09-17 16:59:38,completed,pickup,7.04,-5.0,20.88,293.96,USD,SPRING15,mobile,261.04
175,4371,2024-04-24 14:19:29,cancelled,standard,4.52,11.6,34.04,0.0,GBP,,web,425.52
176,3,2023-05-01 21:14:06,completed,standard,5.49,4.76,12.94,175.44,USD,,web,161.77
177,789,2023-06-11 21:20:58,completed,express,11.11,-0.7,52.98,727.03,EUR,,web,662.24
178,4598,2023-07-31 06:19:15,completed,standard,0.78,3.23,8.53,112.73,EUR,,web,106.65
179,3333,2024-03-08 17:57:47,completed,pickup,11.71,17.51,24.53,325.41,EUR,WELCOME10,mobile,306.68
180,3692,2025-06-17 23:40:27,shipped,standard,5.07,-3.64,10.35,148.4,USD,VIP20,web,129.34
181,3854,2024-03-20 05:19:28,completed,standard,4.82,-3.18,16.81,234.97,GBP,,marketplace,210.16
182,2171,2024-09-27 23:23:53,completed,priority,15.39,9.24,4.65,68.96,USD,WELCOME10,web,58.16
183,3444,2024-02-17 01:45:52,completed,express,9.19,12.53,20.75,224.96,MAD,WELCOME10,web,207.54999999999998
184,3254,2025-05-02 22:25:27,cancelled,priority,8.28,4.02,10.38,0.0,MAD,,mobile,103.81
185,1599,2024-10-02 01:53:02,completed,express,8.83,3.93,12.03,167.34,USD,,web,150.41000000000003
186,667,2023-06-20 01:59:05,shipped,standard,3.85,26.7,19.13,235.38,USD,,mobile,239.1
187,3560,2023-06-23 18:51:08,completed,standard,2.72,-5.0,7.73,92.76,MAD,,marketplace,77.31
188,4011,2023-03-01 04:43:03,completed,pickup,2.55,11.07,8.82,110.61,EUR,,web,110.31
189,2432,2023-06-14 03:48:40,completed,standard,18.8,5.77,10.17,150.37,USD,,web,127.17
190,2595,2025-05-16 03:31:47,completed,standard,12.53,12.03,25.79,348.71,USD,FREESHIP,web,322.42
191,1279,2023-12-01 05:57:43,cancelled,standard,9.56,10.45,9.44,0.0,USD,WELCOME10,web,118.0
192,2941,2023-11-14 08:13:25,completed,priority,4.48,7.08,17.58,190.81,MAD,,web,175.82999999999998
193,2933,2024-06-27 10:51:24,cancelled,express,5.45,8.74,15.14,0.0,USD,FREESHIP,marketplace,189.27
194,1758,2023-08-03 04:14:00,completed,pickup,6.47,10.72,3.42,41.88,USD,VIP20,web,42.71
195,3493,2023-12-19 21:12:28,cancelled,pickup,4.67,0.53,4.73,0.0,USD,SPRING15,mobile,59.11
196,3453,2025-05-11 06:14:20,completed,priority,37.71,13.13,7.34,123.61,EUR,WELCOME10,web,91.69
197,4318,2024-01-23 14:43:54,completed,standard,17.32,0.62,15.81,190.63,MAD,,web,158.12
198,3531,2023-11-30 23:17:20,completed,standard,7.48,-5.0,14.82,212.51,GBP,,web,185.20999999999998
199,370,2023-10-08 00:12:26,completed,express,4.37,-5.0,22.16,308.52,EUR,,mobile,276.99
200,1367,2025-07-31 06:51:13,completed,express,3.86,12.09,12.3,157.87,USD,,web,153.8
201,2629,2023-08-30 04:21:32,completed,standard,7.81,-4.23,38.02,525.32,USD,,mobile,475.26
202,2557,2023-12-29 17:27:18,completed,standard,3.94,5.11,17.49,234.91,USD,,web,218.59
203,1208,2023-01-29 15:32:06,completed,express,14.49,-4.66,20.16,291.26,USD,FREESHIP,web,251.95
204,1996,2024-03-23 14:46:53,completed,pickup,8.38,-0.93,3.24,53.05,USD,,web,40.5
205,2762,2025-06-25 05:15:36,completed,standard,8.82,-5.0,9.76,145.55,EUR,WELCOME10,web,121.97
206,1560,2023-09-01 19:15:04,completed,standard,14.18,-5.0,22.42,321.85,EUR,VIP20,web,280.25
207,1320,2023-06-29 06:39:27,completed,standard,2.5,3.19,17.39,234.03,EUR,,mobile,217.32999999999998
208,4437,2025-09-12 07:46:49,completed,express,5.22,5.81,15.98,215.14,GBP,,mobile,199.75
209,1513,2023-04-14 17:21:09,completed,standard,10.46,8.36,16.66,226.97,USD,,web,208.21
210,1548,2023-06-14 01:37:40,completed,standard,6.47,-4.56,6.6,100.08,USD,SPRING15,marketplace,82.45
211,2283,2023-12-05 03:38:51,returned,priority,9.1,-0.28,22.17,0.0,USD,VIP20,mobile,277.13
212,640,2025-04-04 11:19:27,completed,express,14.17,4.77,19.69,275.19,USD,WELCOME10,web,246.1
213,558,2025-02-13 12:21:56,pending,standard,5.05,-3.69,11.76,167.53,USD,,web,147.03
214,4081,2025-09-07 07:24:42,completed,express,20.2,7.44,1.25,29.62,GBP,,web,15.61
215,242,2023-12-10 21:51:15,completed,express,11.56,4.59,21.94,303.12,GBP,,web,274.21
216,2233,2024-07-25 02:03:57,completed,express,1.82,12.71,6.23,73.17,USD,,mobile,77.83
217,53,2023-01-18 01:25:42,completed,standard,1.47,6.24,4.8,60.08,GBP,VIP20,web,60.05
218,1794,2024-01-30 19:32:31,cancelled,standard,0.72,7.71,19.45,0.0,USD,,web,243.09
219,1997,2025-06-02 13:35:02,completed,express,7.0,3.15,9.61,133.54,EUR,,web,120.08
220,2278,2024-01-31 20:01:54,cancelled,standard,6.45,7.49,26.08,0.0,USD,WELCOME10,mobile,325.98
221,3757,2024-07-27 04:30:05,completed,standard,8.31,22.37,18.19,231.56,USD,,marketplace,227.43
222,4099,2025-02-13 00:35:20,completed,standard,4.26,-0.41,5.53,79.33,EUR,,mobile,69.13
223,3872,2024-07-28 21:22:53,completed,standard,3.36,5.3,15.11,202.02,USD,,mobile,188.85000000000002
224,4849,2024-12-19 19:53:01,completed,express,9.61,13.79,31.89,426.37,USD,,web,398.66
225,3915,2024-09-01 17:47:43,pending,standard,10.59,12.79,5.05,65.98,EUR,,mobile,63.129999999999995
226,159,2025-08-15 15:59:20,completed,standard,7.72,19.85,9.84,120.67,EUR,,mobile,122.96000000000001
227,767,2025-02-22 11:16:36,completed,standard,10.72,10.01,49.21,665.1,USD,VIP20,web,615.1800000000001
228,4433,2024-08-02 13:29:34,completed,standard,2.38,15.05,4.13,43.12,EUR,,marketplace,51.660000000000004
229,869,2024-07-15 13:54:25,completed,express,8.33,-4.85,2.8,50.94,GBP,,web,34.96
230,2821,2024-06-02 04:49:38,completed,standard,5.37,13.02,13.69,177.16,EUR,,marketplace,171.12
231,3257,2025-03-17 00:58:36,completed,express,14.0,2.76,38.35,528.94,USD,,web,479.34999999999997
232,3203,2025-01-08 16:08:13,pending,standard,18.65,7.29,9.95,145.71,USD,,marketplace,124.4
233,4276,2024-11-01 16:02:49,completed,pickup,2.51,-5.0,6.42,94.18,USD,,web,80.25
234,1730,2023-03-01 22:36:59,completed,express,11.31,-2.58,1.55,34.82,EUR,VIP20,web,19.38
235,811,2024-09-05 06:34:18,completed,standard,7.89,18.44,11.91,150.2,USD,SPRING15,web,148.84
236,701,2025-08-05 18:04:21,pending,standard,4.52,9.38,57.61,772.88,USD,WELCOME10,web,720.13
237,4643,2024-10-03 03:00:10,completed,pickup,18.93,4.4,9.65,144.78,USD,,marketplace,120.6
238,1009,2025-02-01 06:56:02,completed,pickup,28.01,-2.67,41.87,491.24,MAD,SPRING15,mobile,418.69
239,1216,2023-07-09 01:03:57,pending,pickup,1.14,10.92,10.82,136.34,EUR,,mobile,135.3
240,4254,2024-06-22 09:49:49,completed,express,6.27,8.1,8.59,114.18,USD,,marketplace,107.41999999999999
241,635,2023-04-18 20:46:57,cancelled,standard,0.84,8.63,0.5,-2.32,MAD,,web,4.97
242,517,2024-09-05 13:24:18,completed,express,2.8,10.97,8.26,103.34,EUR,,marketplace,103.25
243,653,2023-11-16 12:39:28,completed,express,8.54,17.87,13.37,171.11,USD,,mobile,167.07
244,31,2023-10-18 22:21:07,completed,standard,10.33,4.48,18.98,262.14,USD,,web,237.31
245,1957,2025-03-24 06:52:41,pending,standard,3.69,20.62,7.78,88.16,EUR,,web,97.31
246,29,2023-01-25 15:56:00,completed,standard,7.91,14.77,9.32,119.0,GBP,WELCOME10,mobile,116.54
247,3775,2025-04-12 15:33:51,completed,express,13.03,0.2,34.49,478.43,USD,,web,431.11
248,1340,2023-05-01 22:06:12,completed,standard,7.54,33.13,20.58,252.2,USD,SPRING15,web,257.21000000000004
249,2088,2023-07-22 22:50:11,completed,standard,5.1,3.74,5.7,78.29,GBP,SPRING15,mobile,71.23
250,3318,2024-04-10 16:34:06,pending,express,21.64,-5.0,10.48,168.18,GBP,,mobile,131.06
251,392,2023-01-22 07:42:35,completed,pickup,2.68,17.28,14.73,184.22,EUR,WELCOME10,web,184.09
252,2653,2024-01-29 09:01:48,returned,standard,3.65,2.85,13.41,0.0,USD,,mobile,167.62
253,714,2024-06-01 07:53:17,completed,express,3.33,-5.0,27.0,372.87,EUR,,web,337.54
254,3194,2023-07-08 18:17:31,completed,standard,8.34,-5.0,18.86,267.97,USD,SPRING15,marketplace,235.77
255,3667,2023-05-23 02:13:51,completed,standard,10.57,6.9,14.2,195.41,USD,,web,177.54
256,4135,2024-03-22 02:03:02,completed,express,3.09,-5.0,8.92,128.5,EUR,,web,111.49
257,3220,2023-08-04 04:00:35,completed,standard,3.55,3.8,11.83,159.42,EUR,,web,147.84
